doc_id,pmid,sentence,text,umls_codes,umls_concept_name,possible_alternative_codes
139,1361318,A family with inherited deficiency of complement factor 2 (C2) is described in which two family members with homozygous C2 deficiency developed cutaneous vasculitis and sicca syndrome.,cutaneous vasculitis,['C0262988'],Vasculitis of the skin,[]
139,1361318,A family with inherited deficiency of complement factor 2 (C2) is described in which two family members with homozygous C2 deficiency developed cutaneous vasculitis and sicca syndrome.,sicca syndrome,['C0086981'],Sicca Syndrome,[]
140,1361318,"The other family members had heterozygous C2 deficiency and each member had the HLA-A25, B18, DR2 (w15) haplotype.",C2 deficiency,[],"C2 gene, Complement 2 deficiency","['C1412938', 'C0398756']"
141,1376553,A C--greater than G transversion has been found in exon 3 of the PLP gene of affected males and their mother in a single sibship with Pelizaeus-merzbacher disease PMD.,PMD,"['T0000004 - C0751916', 'C0205711']","Classic Pelizaeus-Merzbacher Disease, Pelizaeus-Merzbacher Disease",[]
141,1376553,A C--greater than G transversion has been found in exon 3 of the PLP gene of affected males and their mother in a single sibship with Pelizaeus-merzbacher disease PMD.,Pelizaeus-merzbacher disease,"['T0000004 - C0751916', 'C0205711']","Classic Pelizaeus-Merzbacher Disease, Pelizaeus-Merzbacher Disease",[]
142,1380672,"Mutations of the X-chromosome-linked PLP gene are lethal, identified first in the jimpy mouse and subsequently in patients with Pelizaeus-Merzbacher disease.",Pelizaeus-Merzbacher disease,"['T0000004 - C0751916', 'C0205711']","Classic Pelizaeus-Merzbacher Disease, Pelizaeus-Merzbacher Disease",[]
143,1380672,"We suggest that PLP has a vital function in glial cell development, distinct from its later role in myelin assembly, and that this dichotomy of action may explain the clinical spectrum of Pelizaeus-Merzbacher disease..",Pelizaeus-Merzbacher disease,"['T0000004 - C0751916', 'C0205711']","Classic Pelizaeus-Merzbacher Disease, Pelizaeus-Merzbacher Disease",[]
144,1384323,We analyzed the HEXA gene of one pseudodeficient subject and identified both a C739-to-T substitution that changes Arg247----Trp on one allele and a previously identified Tay-Sachs disease mutation on the second allele.,Tay-Sachs disease,['C0039373'],Tay-Sachs Disease,[]
145,1384324,These results provide further examples of mutations in PLP that cause Pelizaeus-Merzbacher disease and illustrate the value of SSCP in genetic analysis..,Pelizaeus-Merzbacher disease,"['T0000004 - C0751916', 'C0205711']","Classic Pelizaeus-Merzbacher Disease, Pelizaeus-Merzbacher Disease",[]
146,1409710,"A missense mutation, Gly-561--Ser, was identified within the proposed glycoprotein Ib binding domain of vWF in the proband with von Willebrand disease type B, a unique variant characterized by no ristocetin-induced, but normal botrocetin-induced, binding to glycoprotein Ib.",von Willebrand disease,"['T0000023 - C1264039', 'C0042974']",von Willebrand disease type 1- von Willebrand Disease,[]
147,1409710,The normal botrocetin-induced binding and the defective ristocetin-induced binding of rvWF(G561S) suggest that the primary defect in von Willebrand disease type B may be a failure of normal allosteric regulation of the glycoprotein Ib binding function of vWF..,von Willebrand disease,"['T0000023 - C1264039', 'C0042974']",von Willebrand disease type 1- von Willebrand Disease,[]
148,1424237,"Three children are reported with typical cat eye syndrome (CES) and three more children with partial CES because of absence of coloboma, in which the supernumerary marker chromosome was studied by FISH.",CES,['C0265493'],Cat eye syndrome,[]
148,1424237,"Three children are reported with typical cat eye syndrome (CES) and three more children with partial CES because of absence of coloboma, in which the supernumerary marker chromosome was studied by FISH.",CES,['C0265493'],Cat eye syndrome,[]
148,1424237,"Three children are reported with typical cat eye syndrome (CES) and three more children with partial CES because of absence of coloboma, in which the supernumerary marker chromosome was studied by FISH.",cat eye syndrome,['C0265493'],Cat eye syndrome,[]
148,1424237,"Three children are reported with typical cat eye syndrome (CES) and three more children with partial CES because of absence of coloboma, in which the supernumerary marker chromosome was studied by FISH.",coloboma,['C0009363'],Coloboma,[]
149,144081,"Examination on G6PD deficiency in 349 patients of Shekii district hospital (Azerbaijan) revealed 16 hemi-, 4 homo- and 9 heterozygotic carriers of the defect.",G6PD deficiency,"['T0000015 - C0237987', 'C0017758']","Glucose-6-phosphate dehydrogenase deficiency anemia, Glucosephosphate Dehydrogenase Deficiency",[]
150,144081,"Carriers of G6PD deficiency are residents of 11 villages located in Alasani-Aphtalan valley, highly endemic with malaria in the past; nearly all marriages are endogamic.",G6PD deficiency,"['T0000015 - C0237987', 'C0017758']","Glucose-6-phosphate dehydrogenase deficiency anemia, Glucosephosphate Dehydrogenase Deficiency",[]
150,144081,"Carriers of G6PD deficiency are residents of 11 villages located in Alasani-Aphtalan valley, highly endemic with malaria in the past; nearly all marriages are endogamic.",malaria,['C0024530'],Malaria,[]
151,1468459,We report on nine patients with craniofrontonasal dysplasia CFND.,CFND,['C0220767'],CRANIOFRONTONASAL SYNDROME,[]
151,1468459,We report on nine patients with craniofrontonasal dysplasia CFND.,craniofrontonasal dysplasia,['C0220767'],CRANIOFRONTONASAL SYNDROME,[]
152,1483696,Mutations at the hexosaminidase A (HEXA) gene which cause Tay-Sachs disease (TSD) have elevated frequency in the Ashkenazi Jewish and French-Canadian populations.,TSD,['C0039373'],Tay-Sachs Disease,[]
152,1483696,Mutations at the hexosaminidase A (HEXA) gene which cause Tay-Sachs disease (TSD) have elevated frequency in the Ashkenazi Jewish and French-Canadian populations.,Tay-Sachs disease,['C0039373'],Tay-Sachs Disease,[]
153,1505217,Aspartylglucosaminuria (AGU) is a recessive autosomally inherited lysosomal storage disorder due to deficiency of the enzyme aspartylglucosaminidase AGA.,AGU,['C0268225'],Aspartylglucosaminuria,[]
153,1505217,Aspartylglucosaminuria (AGU) is a recessive autosomally inherited lysosomal storage disorder due to deficiency of the enzyme aspartylglucosaminidase AGA.,Aspartylglucosaminuria,['C0268225'],Aspartylglucosaminuria,[]
153,1505217,Aspartylglucosaminuria (AGU) is a recessive autosomally inherited lysosomal storage disorder due to deficiency of the enzyme aspartylglucosaminidase AGA.,lysosomal storage disorder,['C0085078'],Lysosomal Storage Diseases,[]
153,1505217,Aspartylglucosaminuria (AGU) is a recessive autosomally inherited lysosomal storage disorder due to deficiency of the enzyme aspartylglucosaminidase AGA.,deficiency of the enzyme,['C0149676'],Enzyme Deficiency,[]
154,1505982,Two distinct loci have been proposed for aniridia; AN1 for autosomal dominant aniridia on chromosome 2p and AN2 for the aniridia in the WAGR contiguous gene syndrome on chromosome 11p13.,aniridia,['C0003076'],Aniridia,[]
154,1505982,Two distinct loci have been proposed for aniridia; AN1 for autosomal dominant aniridia on chromosome 2p and AN2 for the aniridia in the WAGR contiguous gene syndrome on chromosome 11p13.,autosomal dominant aniridia,['C0265385'],Autosomal dominant hereditary disorder,[]
154,1505982,Two distinct loci have been proposed for aniridia; AN1 for autosomal dominant aniridia on chromosome 2p and AN2 for the aniridia in the WAGR contiguous gene syndrome on chromosome 11p13.,aniridia,['C0003076'],Aniridia,[]
154,1505982,Two distinct loci have been proposed for aniridia; AN1 for autosomal dominant aniridia on chromosome 2p and AN2 for the aniridia in the WAGR contiguous gene syndrome on chromosome 11p13.,WAGR contiguous gene syndrome,['C0206115'],WAGR Syndrome,[]
155,1517503,We describe an aggressive and ultimately fatal case of PG in a patient with a congenital C7 deficiency.,congenital C7 deficiency,['C0333006'],Congenital deficiency,[]
155,1517503,We describe an aggressive and ultimately fatal case of PG in a patient with a congenital C7 deficiency.,C7 deficiency,['C0398768'],Complement 7 deficiency,['[ C1864694 ] COMPLEMENT COMPONENT 7 DEFICIENCY']
156,1562739,The 1376 G----T mutation seems to be the dominant allele that causes G6PD deficiency in Taiwan.,G6PD deficiency,"['T0000015 - C0237987', 'C0017758']","Glucose-6-phosphate dehydrogenase deficiency anemia, Glucosephosphate Dehydrogenase Deficiency",[]
157,1562739,Our studies provide the direct proof of the genetic heterogeneity of G6PD deficiency in the Chinese populations of Taiwan and the PCR/RE digestion method is suitable for simultaneous detection of the 487 G----A and 493 A----G mutations..,G6PD deficiency,"['T0000015 - C0237987', 'C0017758']","Glucose-6-phosphate dehydrogenase deficiency anemia, Glucosephosphate Dehydrogenase Deficiency",[]
158,1577476,"Golden retriever muscular dystrophy (GRMD) is a spontaneous, X-linked, progressively fatal disease of dogs and is also a homologue of Duchenne muscular dystrophy DMD.",DMD,['C0013264'],"Muscular Dystrophy, Duchenne",[]
158,1577476,"Golden retriever muscular dystrophy (GRMD) is a spontaneous, X-linked, progressively fatal disease of dogs and is also a homologue of Duchenne muscular dystrophy DMD.",muscular dystrophy,['C0026850'],Muscular Dystrophies,[]
158,1577476,"Golden retriever muscular dystrophy (GRMD) is a spontaneous, X-linked, progressively fatal disease of dogs and is also a homologue of Duchenne muscular dystrophy DMD.",disease of dogs,['C0012979'],Dog Diseases,[]
158,1577476,"Golden retriever muscular dystrophy (GRMD) is a spontaneous, X-linked, progressively fatal disease of dogs and is also a homologue of Duchenne muscular dystrophy DMD.",Duchenne muscular dystrophy,['C0013264'],"Muscular Dystrophy, Duchenne",[]
159,1577763,"Type I C2 deficiency was described in a family in which the C2 null allele (C2Q0) is associated with the major histocompatibility haplotype/complotype HLA-A25,B18,C2Q0,BfS,C4A4, C4B2,Drw2; this extended haplotype occurs in over 90% of C2-deficient individuals common complotype/haplotype.",C2 deficiency,[],"C2 gene, Complement 2 deficiency","['C1412938', 'C0398756']"
160,1577763,"To determine the molecular basis of type I C2 deficiency, the C2 gene and cDNA were characterized from a homozygous type I C2-deficient individual with the common associated haplotype/complotype.",C2 deficiency,[],"C2 gene, Complement 2 deficiency","['C1412938', 'C0398756']"
161,1577763,"These data demonstrate that: 1 type I human complement C2 deficiency is caused by a 28-base pair genomic deletion that causes skipping of exon 6 during RNA splicing, resulting in generation of a premature termination codon, 2 the 28-base pair deletion in the type I C2Q0 gene is strongly associated with the HLA haplotype/complotype A25,B18,C2Q0,BfS,C4A4,C4B2,Drw2, suggesting that all C2-deficient individuals with this haplotype/complotype will harbor the 28-base pair C2 gene deletion, and 3 type II C2 deficiency is caused by a different, as yet uncharacterized, molecular genetic defect..",C2 deficiency,['C0398756'],Complement 2 deficiency,[]
161,1577763,"These data demonstrate that: 1 type I human complement C2 deficiency is caused by a 28-base pair genomic deletion that causes skipping of exon 6 during RNA splicing, resulting in generation of a premature termination codon, 2 the 28-base pair deletion in the type I C2Q0 gene is strongly associated with the HLA haplotype/complotype A25,B18,C2Q0,BfS,C4A4,C4B2,Drw2, suggesting that all C2-deficient individuals with this haplotype/complotype will harbor the 28-base pair C2 gene deletion, and 3 type II C2 deficiency is caused by a different, as yet uncharacterized, molecular genetic defect..",C2 deficiency,['C0398756'],Complement 2 deficiency,[]
162,1610789,"We report here the molecular characterization of two galactosemia mutations, L74P and F171S, and one polymorphism, S135L, in human galactose-1-phosphate uridyltransferase GALT.",galactosemia,"['T0000028 - C0268151', 'C0016952']","Classical galactosemia, Galactosemias",[]
163,1610789,Our data further support the notion of molecular heterogeneity of galactosemia and suggest that galactosemia mutations and GALT polymorphisms may be useful tools in highlighting different functional domains in human GALT..,galactosemia,"['T0000028 - C0268151', 'C0016952']","Classical galactosemia, Galactosemias",[]
163,1610789,Our data further support the notion of molecular heterogeneity of galactosemia and suggest that galactosemia mutations and GALT polymorphisms may be useful tools in highlighting different functional domains in human GALT..,galactosemia,"['T0000028 - C0268151', 'C0016952']","Classical galactosemia, Galactosemias",[]
164,161677,HLA-D typing showed that 5 members typed with homozygous Dw2 typing cells from an individual with C2 deficiency but not with Dw2 typing cells from 2 individuals with normal C2.,C2 deficiency,[],"C2 gene, Complement 2 deficiency","['C1412938', 'C0398756']"
165,1655284,"In ten independent cases of Denys-Drash syndrome, point mutations in the zinc finger domains of one WT1 gene copy were found.",Denys-Drash syndrome,['C0950121'],Denys-Drash Syndrome,[]
166,1655284,Our results provide evidence of a direct role for WT1 in Denys-Drash syndrome and thus urogenital system development..,Denys-Drash syndrome,['C0950121'],Denys-Drash Syndrome,[]
167,1671851,"We have performed linkage analysis with the DNA markers DXS52 and the clotting factor VIII gene (F8C), in several large families with X-linked adrenoleukodystrophy ALD.",ALD,"['T0000003 - C0162309', 'C0282525']","Adrenoleukodystrophy, Adrenoleukodystrophy, Neonatal",[]
167,1671851,"We have performed linkage analysis with the DNA markers DXS52 and the clotting factor VIII gene (F8C), in several large families with X-linked adrenoleukodystrophy ALD.",adrenoleukodystrophy,"['T0000003 - C0162309', 'C0282525']","Adrenoleukodystrophy, Adrenoleukodystrophy, Neonatal",[]
168,1671881,Classical phenylketonuria is an autosomal recessive disease caused by a deficiency of hepatic phenylalanine hydroxylase PAH.,phenylketonuria,"['T0000019 - C1291306', 'C0031485', 'C0751434']","Deficiency of phenylalanine 4-monooxygenase, Phenylketonurias, Classical phenylketonuria",[]
168,1671881,Classical phenylketonuria is an autosomal recessive disease caused by a deficiency of hepatic phenylalanine hydroxylase PAH.,deficiency of hepatic phenylalanine hydroxylase,['C0149676'],Enzyme Deficiency,[]
169,1673289,A detailed 10-point map of the 4p16 region constructed from the CEPH panel provides evidence for heterogeneity in the linkage maps constructed from families segregating for Huntington disease HD.,HD,['C0020179'],Huntington Disease,[]
169,1673289,A detailed 10-point map of the 4p16 region constructed from the CEPH panel provides evidence for heterogeneity in the linkage maps constructed from families segregating for Huntington disease HD.,Huntington disease,['C0020179'],Huntington Disease,[]
170,1676565,We report carrier identification and a prenatal diagnosis using DNA polymorphisms in 2 families with X-linked Pelizaeus-Merzbacher disease PMD.,PMD,"['T0000004 - C0751916', 'C0205711']","Classic Pelizaeus-Merzbacher Disease, Pelizaeus-Merzbacher disease",[]
170,1676565,We report carrier identification and a prenatal diagnosis using DNA polymorphisms in 2 families with X-linked Pelizaeus-Merzbacher disease PMD.,Pelizaeus-Merzbacher disease,"['T0000004 - C0751916', 'C0205711']","Classic Pelizaeus-Merzbacher Disease, Pelizaeus-Merzbacher disease",[]
171,1678319,"Small (100-260 kb), nested deletions were characterized in DNA from two unrelated patients with familial adenomatous polyposis coli APC.",APC,['C0032580'],Adenomatous Polyposis Coli,[]
171,1678319,"Small (100-260 kb), nested deletions were characterized in DNA from two unrelated patients with familial adenomatous polyposis coli APC.",adenomatous polyposis coli,['C0032580'],Adenomatous Polyposis Coli,[]
172,1679035,We studied the relationship between the autosomal recessive trait familial Mediterranean fever (FMF) and the serum amyloid A (SAA) genes by comparing alleles of a highly polymorphic dinucleotide repeat and a conventional restriction fragment length polymorphism (RFLP) in the SAA gene cluster in Israeli FMF kindreds.,FMF,['C0031069'],Familial Mediterranean Fever,[]
172,1679035,We studied the relationship between the autosomal recessive trait familial Mediterranean fever (FMF) and the serum amyloid A (SAA) genes by comparing alleles of a highly polymorphic dinucleotide repeat and a conventional restriction fragment length polymorphism (RFLP) in the SAA gene cluster in Israeli FMF kindreds.,FMF,['C0031069'],Familial Mediterranean Fever,[]
172,1679035,We studied the relationship between the autosomal recessive trait familial Mediterranean fever (FMF) and the serum amyloid A (SAA) genes by comparing alleles of a highly polymorphic dinucleotide repeat and a conventional restriction fragment length polymorphism (RFLP) in the SAA gene cluster in Israeli FMF kindreds.,familial Mediterranean fever,['C0031069'],Familial Mediterranean Fever,[]
173,1682919,Rearrangement of the BCL1 (B-cell lymphoma 1) region on chromosome 11q13 appears to be highly characteristic of centrocytic lymphoma and also is found infrequently in other B-cell neoplasms.,B-cell lymphoma,[],B-Cell Lymphomas,['C0079731']
173,1682919,Rearrangement of the BCL1 (B-cell lymphoma 1) region on chromosome 11q13 appears to be highly characteristic of centrocytic lymphoma and also is found infrequently in other B-cell neoplasms.,centrocytic lymphoma,['C1392224'],lymphoma; centrocytic,[]
173,1682919,Rearrangement of the BCL1 (B-cell lymphoma 1) region on chromosome 11q13 appears to be highly characteristic of centrocytic lymphoma and also is found infrequently in other B-cell neoplasms.,B-cell neoplasms,['C1332362'],B-cell neoplasm,[]
174,1682919,"Thus, PRAD1 is an excellent candidate ""BCL1 oncogene."" Its overexpression may be a key consequence of rearrangement of the BCL1 vicinity in B-cell neoplasms and a unifying pathogenetic feature in centrocytic lymphoma..",B-cell neoplasms,['C1332362'],B-cell neoplasm,[]
174,1682919,"Thus, PRAD1 is an excellent candidate ""BCL1 oncogene."" Its overexpression may be a key consequence of rearrangement of the BCL1 vicinity in B-cell neoplasms and a unifying pathogenetic feature in centrocytic lymphoma..",centrocytic lymphoma,['C1392224'],lymphoma; centrocytic,[]
175,1684088,Fragments of the arylsulfatase A (ARSA) gene from a patient with juvenile-onset metachromatic leukodystrophy (MLD) were amplified by PCR and ligated into MP13 cloning vectors.,MLD,['C0023522'],"Leukodystrophy, Metachromatic",[]
175,1684088,Fragments of the arylsulfatase A (ARSA) gene from a patient with juvenile-onset metachromatic leukodystrophy (MLD) were amplified by PCR and ligated into MP13 cloning vectors.,metachromatic leukodystrophy,['C0023522'],"Leukodystrophy, Metachromatic",[]
176,1684569,We report on a thrombocytopenic female belonging to a pedigree with the Wiskott-Aldrich syndrome WAS.,WAS,['C0043194'],Wiskott-Aldrich Syndrome,[]
176,1684569,We report on a thrombocytopenic female belonging to a pedigree with the Wiskott-Aldrich syndrome WAS.,Wiskott-Aldrich syndrome,['C0043194'],Wiskott-Aldrich Syndrome,[]
177,1707231,A C-to-T transition in exon 4 of the PLP gene was found in 2 affected males and two obligate carriers in a German family with Pelizaeus-Merzbacher disease.,Pelizaeus-Merzbacher disease,"['T0000004 - C0751916', 'C0205711']","Classic Pelizaeus-Merzbacher Disease, Pelizaeus-Merzbacher disease",[]
178,1709636,"Phenylketonuria (PKU) is an autosomal recessive disease due to deficiency of a hepatic enzyme, phenylalanine hydroxylase PAH.",PKU,"['T0000019 - C1291306', 'C0031485', 'C0751434']","Deficiency of phenylalanine 4-monooxygenase, Phenylketonurias, Classical phenylketonuria",[]
178,1709636,"Phenylketonuria (PKU) is an autosomal recessive disease due to deficiency of a hepatic enzyme, phenylalanine hydroxylase PAH.",Phenylketonuria,"['T0000019 - C1291306', 'C0031485', 'C0751434']","Deficiency of phenylalanine 4-monooxygenase, Phenylketonurias, Classical phenylketonuria",[]
178,1709636,"Phenylketonuria (PKU) is an autosomal recessive disease due to deficiency of a hepatic enzyme, phenylalanine hydroxylase PAH.",deficiency of a hepatic enzyme,['C0149676'],Enzyme Deficiency,[]
179,1717985,We identified a KIT gene mutation in a proband with classic autosomal dominant piebaldism.,autosomal dominant piebaldism,['C0265385'],Autosomal dominant hereditary disorder,[]
179,1717985,We identified a KIT gene mutation in a proband with classic autosomal dominant piebaldism.,piebaldism,['C0080024'],Piebaldism,[]
180,1731805,Normotriglyceridemic abetalipoproteinemia is a rare familial disorder characterized by an isolated deficiency of apoB-100.,abetalipoproteinemia,['C0000744'],Abetalipoproteinemia,[]
180,1731805,Normotriglyceridemic abetalipoproteinemia is a rare familial disorder characterized by an isolated deficiency of apoB-100.,familial disorder,['C0277558'],Familial disease,[]
181,1733838,"A highly informative microsatellite marker, DXS426, which maps proximal to DXS7 in the interval Xp11.4-Xp11.23, has been used to refine further the localisation of the gene for Norrie disease NDP.",Norrie disease,[],NORRIE DISEASE,['C0266526']
182,1769645,"Because of the high frequency of these particular haplotypes in Bulgaria, Italy, and Turkey, it appears to be one of the more frequent defects in the PAH gene causing classical phenylketonuria in this part of Europe.",phenylketonuria,"['T0000019 - C1291306', 'C0031485', 'C0751434']","Deficiency of phenylalanine 4-monooxygenase, Phenylketonurias, Classical phenylketonuria",[]
183,1776638,"The breakpoints in the present case and in 3 previously reported 5q- patients with adenomatous polyposis coli suggest that the gene responsible for GS/or familial polyposis coli (FPC) is in the 5q22 region, a result consistent with the findings of linkage studies..",FPC,['C0032580'],Adenomatous Polyposis Coli,[]
183,1776638,"The breakpoints in the present case and in 3 previously reported 5q- patients with adenomatous polyposis coli suggest that the gene responsible for GS/or familial polyposis coli (FPC) is in the 5q22 region, a result consistent with the findings of linkage studies..",adenomatous polyposis coli,['C0032580'],Adenomatous Polyposis Coli,[]
183,1776638,"The breakpoints in the present case and in 3 previously reported 5q- patients with adenomatous polyposis coli suggest that the gene responsible for GS/or familial polyposis coli (FPC) is in the 5q22 region, a result consistent with the findings of linkage studies..",familial polyposis coli,['C0032580'],Adenomatous Polyposis Coli,[]
184,1831007,A 40-year-old man with childhood-onset Tourette syndrome (TS) developed Huntington disease HD.,TS,['C0040517'],Gilles de la Tourette syndrome,[]
184,1831007,A 40-year-old man with childhood-onset Tourette syndrome (TS) developed Huntington disease HD.,HD,['C0020179'],Huntington Disease,[]
184,1831007,A 40-year-old man with childhood-onset Tourette syndrome (TS) developed Huntington disease HD.,Tourette syndrome,['C0040517'],Gilles de la Tourette syndrome,[]
184,1831007,A 40-year-old man with childhood-onset Tourette syndrome (TS) developed Huntington disease HD.,Huntington disease,['C0020179'],Huntington Disease,[]
185,1833974,The rapid identification of mutations causing Tay-Sachs disease requires the capacity to readily screen the regions of the HEXA gene most likely to be affected by mutation.,Tay-Sachs disease,['C0039373'],Tay-Sachs Disease,[]
186,1897530,Galactosemia is an autosomal recessive disorder of human galactose metabolism caused by deficiency of the enzyme galactose-1-phosphate uridyl transferase GALT.,Galactosemia,"['T0000028 - C0268151', 'C0016952']","Classical galactosemia, Galactosemias",[]
186,1897530,Galactosemia is an autosomal recessive disorder of human galactose metabolism caused by deficiency of the enzyme galactose-1-phosphate uridyl transferase GALT.,autosomal recessive disorder,['C0265388'],Autosomal recessive hereditary disorder,[]
186,1897530,Galactosemia is an autosomal recessive disorder of human galactose metabolism caused by deficiency of the enzyme galactose-1-phosphate uridyl transferase GALT.,disorder of human galactose metabolism,['C0342745'],Disorder of galactose metabolism,[]
187,1937471,"To determine the genetic basis for reduction or loss of enzyme activity, we have amplified and sequenced the coding region of HPRT cDNA from four patients: one with Lesch-Nyhan syndrome (HPRTPerth) and three with partial deficiencies of HPRT activity, which have been designated HPRTUrangan, HPRTSwan and HPRTToowong.",Lesch-Nyhan syndrome,['C0023374'],Lesch-Nyhan Syndrome,[]
188,1939657,"We have previously described a disorder, normotriglyceridemic abetalipoproteinemia, that is characterized by the virtual absence of plasma low density lipoproteins and complete absence of apoB-100, but with apparently normal secretion of triglyceride-rich lipoproteins containing apoB-48.",abetalipoproteinemia,['C0000744'],Abetalipoproteinemia,[]
189,1968617,Phenylketonuria (PKU) is a metabolic disease caused by recessive mutations of the gene encoding the hepatic enzyme phenylalanine hydroxylase PAH.,PKU,"['T0000019 - C1291306', 'C0031485', 'C0751434']","Deficiency of phenylalanine 4-monooxygenase, Phenylketonurias, Classical phenylketonuria",[]
189,1968617,Phenylketonuria (PKU) is a metabolic disease caused by recessive mutations of the gene encoding the hepatic enzyme phenylalanine hydroxylase PAH.,Phenylketonuria,"['T0000019 - C1291306', 'C0031485', 'C0751434']","Deficiency of phenylalanine 4-monooxygenase, Phenylketonurias, Classical phenylketonuria",[]
189,1968617,Phenylketonuria (PKU) is a metabolic disease caused by recessive mutations of the gene encoding the hepatic enzyme phenylalanine hydroxylase PAH.,metabolic disease,['C0025517'],Metabolic Diseases,[]
189,1968617,Phenylketonuria (PKU) is a metabolic disease caused by recessive mutations of the gene encoding the hepatic enzyme phenylalanine hydroxylase PAH.,caused by recessive mutations of the gene encoding the hepatic enzyme,['C0149676'],Enzyme Deficiency,[]
190,1973404,Aspartylglucosaminuria (AGU) is caused by deficient activity of the enzyme aspartylglucosaminidase AGA.,AGU,['C0268225'],Aspartylglucosaminuria,[]
190,1973404,Aspartylglucosaminuria (AGU) is caused by deficient activity of the enzyme aspartylglucosaminidase AGA.,Aspartylglucosaminuria,['C0268225'],Aspartylglucosaminuria,[]
191,1975560,"We have studied the genetic linkage of two markers, the apolipoprotein C1 (APOC1) gene and a cytochrome P450 (CYP2A) gene, in relation to the gene for myotonic dystrophy DM.",DM,['T0000024 - C0027126 - C0242007'],"Myotonic Dystrophy, muscular; dystrophy, myotonic",[]
191,1975560,"We have studied the genetic linkage of two markers, the apolipoprotein C1 (APOC1) gene and a cytochrome P450 (CYP2A) gene, in relation to the gene for myotonic dystrophy DM.",myotonic dystrophy,['T0000024 - C0027126 - C0242007'],"Myotonic Dystrophy, muscular; dystrophy, myotonic",[]
192,1978564,These data not only allow use of flanking markers for presymptomatic diagnosis of FAP but also provide a high-density map of the region for isolation of the APC gene itself and for further assessment of the role of chromosome 5 deletions in the biology of sporadic colorectal cancer..,colorectal cancer,"['T0000016 - C0346629', 'C0009402', 'C1527249']",Malignant neoplasm of large intestine - group name,[]
193,1981994,Two recent studies have suggested the involvement of serum amyloid A (SAA) and P (APCS) genes in familial Mediterranean fever MEF.,MEF,['C0031069'],Familial Mediterranean Fever,[]
193,1981994,Two recent studies have suggested the involvement of serum amyloid A (SAA) and P (APCS) genes in familial Mediterranean fever MEF.,familial Mediterranean fever,['C0031069'],Familial Mediterranean Fever,[]
194,1999339,Two other Mexican males with G6PD deficiency were found to have the same mutation.,G6PD deficiency,"['T0000015 - C0237987', 'C0017758']","Glucose-6-phosphate dehydrogenase deficiency anemia, Glucosephosphate Dehydrogenase Deficiency",[]
195,1999552,To our knowledge this is the first documented case of an association between discoid lupus erythematosus and C5 deficiency..,discoid lupus erythematosus,['C0024138'],"Lupus Erythematosus, Discoid",[]
195,1999552,To our knowledge this is the first documented case of an association between discoid lupus erythematosus and C5 deficiency..,C5 deficiency,['C1332657'],COMPLEMENT COMPONENT 5 DEFICIENCY,[]
196,2006152,"A missense mutation has been identified in the human phenylalanine hydroxylase PAH; phenylalanine 4-monooxygenase; L-phenylalanine, tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating), EC 1.14.16.1 gene in a Chinese patient with classic phenylketonuria PKU.",PKU,"['T0000019 - C1291306', 'C0031485', 'C0751434']","Deficiency of phenylalanine 4-monooxygenase, Phenylketonurias, Classical phenylketonuria",[]
196,2006152,"A missense mutation has been identified in the human phenylalanine hydroxylase PAH; phenylalanine 4-monooxygenase; L-phenylalanine, tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating), EC 1.14.16.1 gene in a Chinese patient with classic phenylketonuria PKU.","missense mutation has been identified in the human phenylalanine hydroxylase PAH; phenylalanine 4-monooxygenase; L-phenylalanine, tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating),",['C0149676'],Enzyme Deficiency,[]
196,2006152,"A missense mutation has been identified in the human phenylalanine hydroxylase PAH; phenylalanine 4-monooxygenase; L-phenylalanine, tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating), EC 1.14.16.1 gene in a Chinese patient with classic phenylketonuria PKU.",phenylketonuria,"['T0000019 - C1291306', 'C0031485', 'C0751434']","Deficiency of phenylalanine 4-monooxygenase, Phenylketonurias, Classical phenylketonuria",[]
197,2008213,"We have previously cloned and sequenced a Na+/glucose cotransporter from normal human ileum and shown that this gene, SGLT1, resides on the distal q arm of chromosome 22.",nan,[],nan,[]
198,2008213,Sequence analysis of the amplified products has revealed a single missense mutation in SGLT1 which cosegregates with the GGM phenotype and results in a complete loss of Na(+)-dependent glucose transport in Xenopus oocytes injected with this complementary RNA..,nan,[],nan,[]
199,2016095,Interstitial cytogenetic deletions involving the paternally derived chromosome 15q11-13 have been described in patients with the Prader-Willi syndrome PWS.,PWS,['C0032897'],Prader-Willi Syndrome,[]
199,2016095,Interstitial cytogenetic deletions involving the paternally derived chromosome 15q11-13 have been described in patients with the Prader-Willi syndrome PWS.,Prader-Willi syndrome,['C0032897'],Prader-Willi Syndrome,[]
200,2037285,We report here the linkage relationship of the myotonic dystrophy (DM) locus to twelve of these markers as studied in 45 families with DM.,DM,['T0000024 - C0027126 - C0242007'],"Myotonic Dystrophy, muscular; dystrophy, myotonic",[]
200,2037285,We report here the linkage relationship of the myotonic dystrophy (DM) locus to twelve of these markers as studied in 45 families with DM.,myotonic dystrophy,['T0000024 - C0027126 - C0242007'],"Myotonic Dystrophy, muscular; dystrophy, myotonic",[]
